2023-04-09 20:18:06,658 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Configure stats pid to 55670
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Loading settings from /Users/nehcream/.config/wandb/settings
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Loading settings from /Users/nehcream/Documents/Workspace/Active/AI-SPARK-Challenge/wandb/settings
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/Users/nehcream/Documents/Workspace/Active/AI-SPARK-Challenge/train.py'}
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_init.py:_log_setup():507] Logging user logs to saved/wandb/run-20230409_201806-jgnx2xgb/logs/debug.log
2023-04-09 20:18:06,659 INFO    MainThread:55670 [wandb_init.py:_log_setup():508] Logging internal logs to saved/wandb/run-20230409_201806-jgnx2xgb/logs/debug-internal.log
2023-04-09 20:18:06,660 INFO    MainThread:55670 [wandb_init.py:init():547] calling init triggers
2023-04-09 20:18:06,660 INFO    MainThread:55670 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'_config': OrderedDict([('name', 'AI-SPARK-Challenge GANModel'), ('arch', OrderedDict([('type', 'GANModel'), ('args', OrderedDict([('input_size', 7), ('output_size', 7), ('gen_hidden_size', [16, 8]), ('dsc_hidden_size', [8])]))])), ('seed', 42), ('data_module', OrderedDict([('type', 'CustomDataModule'), ('args', OrderedDict([('data_dir', '/Users/nehcream/Documents/Workspace/Active/AI-SPARK-Challenge/data'), ('batch_size', 32), ('shuffle', True), ('num_workers', 0), ('prepare_data_per_node', False), ('preprocess_fn', OrderedDict([('scaler', 'standard'), ('scaler_comment', ['False', 'minmax', 'standard', 'robust', 'gaussian', 'log']), ('fourier_transform', OrderedDict([('apply', False), ('features', ['motor_current', 'motor_rpm', 'motor_vibe'])]))])), ('kfold', OrderedDict([('n_splits', 5), ('shuffle', True), ('random_state', 42)]))]))])), ('gen_optimizer', OrderedDict([('type', 'Lion'), ('args', OrderedDict([('lr', 0.001)]))])), ('disc_optimizer', OrderedDict([('type', 'Adam'), ('args', OrderedDict([('lr', 0.001)]))])), ('criterion_gen', 'mean_squared_error'), ('criterion_disc', 'binary_cross_entropy_with_logits'), ('alpha', 0.5), ('trainer', OrderedDict([('accelerator', 'cpu'), ('devices', 1), ('max_epochs', 1), ('save_dir', 'saved/')]))]), 'resume': None, '_save_dir': PosixPath('saved/models/AI-SPARK-Challenge GANModel/0409_201805'), '_log_dir': PosixPath('saved/log/AI-SPARK-Challenge GANModel/0409_201805')}
2023-04-09 20:18:06,660 INFO    MainThread:55670 [wandb_init.py:init():595] starting backend
2023-04-09 20:18:06,661 INFO    MainThread:55670 [wandb_init.py:init():599] setting up manager
2023-04-09 20:18:06,664 INFO    MainThread:55670 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-09 20:18:06,668 INFO    MainThread:55670 [wandb_init.py:init():605] backend started and connected
2023-04-09 20:18:06,674 INFO    MainThread:55670 [wandb_init.py:init():695] updated telemetry
2023-04-09 20:18:06,688 INFO    MainThread:55670 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-09 20:18:07,425 INFO    MainThread:55670 [wandb_run.py:_on_init():2176] communicating current version
2023-04-09 20:18:07,505 INFO    MainThread:55670 [wandb_run.py:_on_init():2185] got version response 
2023-04-09 20:18:07,505 INFO    MainThread:55670 [wandb_init.py:init():782] starting run threads in backend
2023-04-09 20:18:08,776 INFO    MainThread:55670 [wandb_run.py:_console_start():2157] atexit reg
2023-04-09 20:18:08,777 INFO    MainThread:55670 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-09 20:18:08,777 INFO    MainThread:55670 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-09 20:18:08,777 INFO    MainThread:55670 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-09 20:18:08,777 INFO    MainThread:55670 [wandb_init.py:init():824] run started, returning control to user process
